time,option_type,reason
2025-10-29 09:25:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:20:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:25:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:30:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:35:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:40:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:45:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:50:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 10:55:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 11:00:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 11:05:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 11:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 11:45:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 11:50:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 11:55:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:00:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-29 12:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:15:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:35:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 12:40:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 13:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 13:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 13:15:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 13:20:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 13:25:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 13:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 13:35:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 14:00:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 14:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 14:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 14:15:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 14:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 14:35:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 14:50:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 14:55:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 15:00:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 15:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 15:10:00+05:30,CE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 15:15:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-29 15:20:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 09:20:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 09:25:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-30 09:50:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-30 10:25:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 10:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 10:35:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 10:50:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 11:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 11:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 11:15:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 11:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 11:45:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 11:50:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 11:55:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:00:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:05:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-30 12:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:15:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:20:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:25:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:35:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:40:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:45:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 12:50:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-30 12:55:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:00:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:15:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:20:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-30 13:25:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:35:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:40:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:45:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-30 13:50:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 13:55:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 14:00:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-30 14:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 14:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 14:15:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-30 14:20:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 14:25:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 14:40:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 14:55:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 15:00:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 15:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 15:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 15:15:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-30 15:20:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 09:20:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 09:25:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 09:40:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 09:45:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 09:50:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 09:55:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:00:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:15:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:20:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:25:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:30:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 10:35:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:50:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 10:55:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:00:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:05:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:10:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:15:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:20:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:25:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 11:35:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:40:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
